Day,Orders,Avg_Kitchen_Wait,Avg_Courier_Wait,Avg_Prep_Time,Avg_Delivery,Avg_Total
1,406,68.53009031198687,68.53009031198687,23.842364532019705,14.849753694581281,119.16063218390805
2,368,38.33745471014496,38.337454710144954,23.85054347826087,14.96195652173913,88.96245471014495
3,441,109.63775510204081,109.63775510204081,23.89342403628118,13.657596371882086,158.92573696145124
4,262,0.7807251908397023,0.7807251908397023,23.99618320610687,13.751908396946565,50.52500000000001
5,227,0.70719530102789,0.70719530102789,23.352422907488986,14.101321585903083,49.3547723935389
6,188,0.019592198581555767,0.019592198581555767,24.29787234042553,13.398936170212766,49.939804964539
7,401,66.422817955112,66.422817955112,23.81296758104738,14.773067331670823,116.8442643391519
8,197,0.120558375634527,0.120558375634527,23.928934010152282,14.050761421319796,50.414974619289346
9,223,1.2376681614350185,1.2376681614350185,25.161434977578477,14.300448430493274,53.614349775784795
10,436,93.93922018348637,93.93922018348637,23.761467889908257,14.6651376146789,144.31307339449555
11,212,0.09426100628930932,0.09426100628930932,23.95754716981132,13.683962264150944,49.37256289308176
